timestamp,rule_id,rule_level,rule_description,rule_groups,agent_name,srcip,dstip,dstport,location,risk_score
2025-12-16T14:56:26.674+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:56:32.679+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:56:36.678+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:56:42.683+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:56:52.701+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:56:58.705+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:57:02.710+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:58:18.850+0000,5501,3,PAM: Login session opened.,"pam,syslog,authentication_success",Ubuntu,,,,journald,20
2025-12-16T14:58:18.849+0000,5402,3,Successful sudo to ROOT executed.,"syslog,sudo",Ubuntu,,,,journald,20
2025-12-16T14:59:28.976+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:34.986+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:38.986+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:44.990+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:48.995+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:54.996+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T14:59:58.998+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:05.004+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:11.006+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:15.007+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:21.012+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:25.018+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:31.024+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:35.027+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:00:49.118+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T15:04:11.176+0000,86601,3,Suricata: Alert - SURICATA Ethertype unknown,"ids,suricata",Ubuntu,,,,/var/log/suricata/eve.json,20
2025-12-16T15:06:49.412+0000,533,7,Listened ports status (netstat) changed (new port opened or closed).,ossec,Ubuntu,,,,netstat listening ports,20
2025-12-16T15:07:03.769+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:07:09.771+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
2025-12-16T15:07:13.773+0000,52002,3,Apparmor DENIED,"local,syslog,apparmor",Ubuntu,,,,journald,20
